product_id,product_type,sentiment,sentiment_ratio,summary
5012851,콩나물김칫국,negative,16,"이 제품은 맛은 괜찮지만 향이 좋지 않으며, 김치가 많고 콩나물이 적고 국물이 줄어드는 문제가 있으며, 고객 응대도 만족스럽지 않습니다."
5012851,콩나물김칫국,positive,82,"이 제품은 맛이 시원하고 편리하며, 가족 모두에게 적합합니다."
5012950,가족을 위한 사골곰탕,negative,6,"이 제품은 맛이 별로며, 밍밍하고 진한 맛을 싫어하는 고객들이 많습니다. 양도 적다는 불만이 있습니다."
5012950,가족을 위한 사골곰탕,positive,90,"이 제품은 가격 대비 가성비가 좋고, 다양한 국물 요리에 사용할 수 있어 편리합니다."
5013198,한우 도가니탕,negative,18,이 제품은 가격이 비싼 편이고 기름이 많아 느끼한 맛이 있다는 의견이 많아요. 일부러 내용물이 들어 있는 제품을 구입한 고객분들이 있어요. 도가니보다 부속물이 많고 기름이 심한 제품을 받은 고객분들이 있어요. 일부러 뜯어 놓은 제품을 받은 고객분도 있어요. 기름이 많아 지방을 먹지 않는 고객분들이 있어요. 누린내가 심한 제품을 받은 고객분들이 있어요. 제품의 맛이 갑자기 묽어졌다는 의견도 있어요.
5013198,한우 도가니탕,positive,74,"이 제품은 가격 대비 가성비가 좋고, 도가니가 풍부해서 맛있다는 평이 많아요. 편리하고 양도 푸짐해서 가족 모두에게 적합합니다. 도가니탕 중에서 국물이 진하고 맛있다는 의견이 많아요."
5025668,아욱된장국,negative,14,이 제품은 맛이 좋지만 양이 적고 위생 관리가 부족해 머리카락이 발견됩니다.
5025668,아욱된장국,positive,86,"이 제품은 맛이 좋아서 많은 고객들이 자주 구매합니다. 양과 맛이 만족스럽고, 건더기와 짠맛이 적당하여 좋고, 간이 적절하며 냉장이 마음에 드는 제품입니다."
5026468,갈비탕,negative,52,이 제품은 기대에 못 미치는 맛과 양으로 인해 불만족스러운 의견이 많습니다. 제품의 사진과 실제 맛이 달라 뼈 조각이 많아 식이 불편하고 양이 적다는 의견이 많습니다.
5026468,갈비탕,positive,46,"이 제품은 가격이 합리적이고 맛이 좋으며, 집에서 간편하게 끓일 수 있어 가족 모두에게 적합한 제품입니다. 다만, 유통기한이 짧다는 단점이 있습니다."
5026469,꼬리곰탕,negative,46,"고기 질기다는 가장 큰 불만으로, 일부 고객은 질겨서 버렸다고 하며 국물만 먹는 경우도 있다고 하며, 사미헌에서 구입했을 때 맛이 달랐다고 하며 국물 맛도 덜 고소하다고 하네요."
5026469,꼬리곰탕,positive,52,이 제품은 맛있고 양도 풍부해서 많은 사람들이 재구매 의사 있어요. 고기는 부드럽고 국물은 담백해서 좋아요. 가격이 비싸다는 의견도 있지만 맛과 양이 좋다고 많이들 말해요.
5027026,우삼겹 강된장,negative,12,"이 리뷰는 제품에 대한 여러 가지 불만을 제시하고 있습니다. 우삼겹이 보이지 않아 불만족스럽고, 제품이 잘못되어 왔으며, 비계 부분이 불명확하고, 맛이 좋지 않아 찝찝합니다. 또한 제품이 터져서 왔고, 다른 제품에 대한 일거리가 생겼으며, 포장 배송에 신경을 쓰지 않으면서 오는 제품이 많습니다. 제품이 짜서 불만족스럽습니다."
5027026,우삼겹 강된장,positive,88,"이 제품은 가격대에 비해 맛이 좋고, 토핑이 풍부해서 맛있다는 평이 많아요. 집에서 간편하게 끓여 먹을 수 있어서 편리하고 양도 푸짐해서 가족 모두에게 적합해요."
5029746,착한들 한우 진한사골곰탕,negative,8,"냉동식품을 주문했는데, 배송 시 박스가 젖었고 국물의 색이 이상한 것 같습니다."
5029746,착한들 한우 진한사골곰탕,positive,90,"이 제품은 가격대에 비해 만족스럽습니다. 토핑이 풍부하고 맛있으며, 집에서 간편하게 끓일 수 있어 편리합니다. 또한 양이 푸짐하여 가족 모두에게 적합합니다. 단, 유통기한이 짧아 버리는 경우가 있다는 점을 고려해야 합니다."
5030630,소고기 버섯 전골,negative,24,"고객님은 불만 사항과 문제점을 제기했습니다.

1.  포장 용기 뚜껑이 부서질 수 있어 내용물이 파편으로 들어가게 됩니다.
2.  고기는 질겨서 맛이 떨어집니다.
3.  양이 줄어들어 만족스럽지 않습니다.
4.  가격이 비싼 것 같습니다.

고객님은 새우와 미나리 버섯을 추가하고 컬리에서 파는 멸치 육수로 부족한 육수를 채워주면 맛이 개운하고 시원한 전골이 된다고 언급했습니다."
5030630,소고기 버섯 전골,positive,72,"이 제품은 편리하고 맛있는 전골로, 야채도 신선하고 국물도 담백합니다. 간편하고 양도 푸짐하여 가족 모두에게 적합합니다."
5030966,시금치된장국,negative,8,"이 제품은 아이들이 못 먹는 매콤한 맛이 있다는 불만과 시금치 비싸다는 불편한 점, 다른 한 끼 음식과 비슷한 맛이라는 의견이 있습니다."
5030966,시금치된장국,positive,86,"이 제품은 시원하고 칼칼한 맛으로 인기가 많으며, 시금치 양이 많고 맛있으며 두부를 넣으면 더 맛있게 먹을 수 있습니다. 간이 쎈 편이라 물을 더 넣어야 하며, 아이도 먹을 수 있는 맛이 좋습니다."
5030967,김치콩나물국,negative,14,"이 제품은 맛이 부실하고 국물이 탁한 문제가 있으며, 냉장 제품은 콩나물이 질겨서 맛이 떨어집니다."
5030967,김치콩나물국,positive,84,"이 제품은 가격대 비 만족스럽게 느껴지는 편리한 제품입니다. 가족 모두가 즐길 수 있는 양이 푸짐하고, 맛은 적당히 매콤하면서 시원한 김치 맛이 좋습니다."
5031054,토종 순대국,negative,18,"이 제품은 가격이 저렴한 편이지만 냄새가 나서 불편하고 맛이 떨어진다는 문제가 있습니다. 또한, 냉동 후에도 먹을 수 있는지 알려주지 않고 배송 시간도 알려주지 않는다는 불만이 있습니다."
5031054,토종 순대국,positive,78,"이 제품은 양과 맛이 좋으며, 국물이 깔끔하고 머릿고기가 푸짐하게 들어가 있습니다. 또한, 개별 포장되어 위생적이고 한 끼 먹으면 든든하며, 냄새가 없고 소화하기 좋습니다."
5031266,배추된장국,negative,4,"이 제품의 맛과 양이 떨어지는 문제가 있으며, 포장지가 바뀐 것에 대한 의심이 있지만 원인은 확실하지 않습니다."
5031266,배추된장국,positive,86,"이 국은 맛있고 편리합니다. 냉장 보관으로 신선하고 맛이 좋으며, 간이 적당합니다. 배추가 들어 있어 시원하고 맛있으며, 두부를 넣으면 건강하게 먹을 수 있습니다. 매콤한 맛을 원한다면 청양고추를 넣어 먹을 수 있습니다. 제품의 양이 넉넉하여 두세 번 먹을 수 있으며, 가족 모두에게 적합합니다."
5031816,한우사골 곰탕,negative,16,"제품의 맛과 질이 떨어지고, 양이 줄어들어 유통기한이 짧아 버리는 경우가 있었고, 냉동 보관 방법으로 물렁물렁이 녹아서 오는 경우가 있었으며, 배송 방법으로 인해 제품이 찝찝하게 왔습니다."
5031816,한우사골 곰탕,positive,82,"이 제품은 맛이 진하지도 묽지도 않고 냄새도 심하지 않아 좋고, 간이 없는 한우 육수와 함께 먹으면 더 맛있으며 국물이 뜨끈하고 간편하게 먹을 수 있어 편리합니다."
5031817,한우사골 고기곰탕,negative,4,이 제품은 국물이 맛이 좋지만 고기 부분이 부족하다는 의견이 있어요.
5031817,한우사골 고기곰탕,positive,94,"이 제품은 한 끼 식사 국으로 적합하며, 냉동실 비상식량으로도 좋습니다. 특히, 떡국이나 만둣 국 끓일 때 베이스로 사용하면 깊은 맛을 느낄 수 있습니다."
5034022,참치김치찌개,negative,20,"이 제품은 불만족한 고객의 의견이 많습니다. 불만족한 이유로는 김치 건더기가 많고 두부나 참치가 적게 들어가고, 육수도 적어 물이나 육수를 더 넣어야 끓여 먹을 수 있습니다. 또한 김치 건더기가 짜고 칼칼하며 설탕이 많이 들어가서 너무 달아 불량한 포장 상태로 국물이 나고 기름기가 묻어 미끄럽습니다."
5034022,참치김치찌개,positive,74,"이 제품은 가격대에 비해 가성비가 좋고 맛있으며, 가족 모두에게 적합한 편리한 제품입니다."
5034225,명월관 갈비탕,negative,62,이 제품은 기대에 못 미치는 것으로 보입니다. 비계가 많고 기름이 많이 붙으며 양이 적고 맛이 떨어져서 실망스럽습니다. 가격이 기대에 못 미치는 것으로 보이니 판매하는 방법이 조금 이상하다고 생각합니다.
5034225,명월관 갈비탕,positive,36,"이 제품은 가격에 비해 좋은 가치가 있고, 토핑이 풍부하여 맛이 좋으며, 집에서 쉽게 끓여 먹을 수 있어 편리하고 가족 모두에게 적합합니다. 하지만 유통기한이 짧아 버리는 경우가 있다는 의견이 있습니다."
5035810,어린이 한우 나주 곰국,negative,12,"이 제품은 불만족스러운 경험이 있었으며, 곰국보다 나주 곰국이 더 맛있을 것 같았지만 아이가 먹지 않는 경험이 있었습니다."
5035810,어린이 한우 나주 곰국,positive,88,"이 제품은 가격대에 비해 맛과 양이 만족스럽고, 다양한 요리하기 좋으며 신선한 재료로 만들어져 믿을 수 있습니다."
5035901,돼지 김치찌개,negative,29,"이 제품은 가성비가 좋고 맛있지만, 가끔씩 품질이 떨어지는 경우가 있으며, 내용물에 김치가 없거나 고기가 적은 경우가 있고, 건더기도 없다는 문제가 있습니다."
5035901,돼지 김치찌개,positive,62,"오모가리 돼지 김치찌개의 장점은 다음과 같습니다.

가성비가 좋은 편리한 냉동식품으로 조리도 간단합니다. 고객들은 이 제품을 좋아해서 자주 구매하고 있습니다. 또한, 양이 적당하고 맛이 좋으며 국물이 시원하다는 의견이 많습니다. 오모가리 김치찌개의 맛이 시판 김치찌개 중 제일 맛있다고 말하고 있습니다."
5035901,참치 김치찌개,negative,8,"이 제품은 양이 적고, 맛이 별로인 반응이 많아요. 편의점 미니 핫반이랑 비교했을 때 양도 적고, 맛도 일반적인 김치찌개 맛이라고 말이에요."
5035901,참치 김치찌개,positive,85,"이 제품은 편리하고 맛있는 제품입니다. 두부를 넣으면 더 맛있게 먹을 수 있고, 비상용으로도 사용할 수 있습니다."
5035913,뼈없는 인삼 갈비탕,negative,14,고객님은 인삼을 구매한 후 고기가 질겨서 만족하지 못했습니다. 특히 고기가 씹다 뱉어내는 정도가 심했고 냄새도 나서 불편했습니다.
5035913,뼈없는 인삼 갈비탕,positive,84,"이 제품은 가격이 저렴하고 맛도 좋고 편리해서 가족 모두가 좋아합니다. 다만, 유통기한이 짧다는 단점이 있습니다."
5036885,미역오이 냉국,negative,26,이 제품은 유통기한이 짧고 맛이 너무 달거나 짜다는 불만이 많으며 오이의 양이 부족한 것에 대한 불만이 있습니다. 그러나 간이 쎄다는 의견이 있지만 간장을 사용하여 맛을 개선할 수 있다는 팁이 있습니다.
5036885,미역오이 냉국,positive,72,"이 제품은 여름철 냉국으로 적합한 제품으로, 시원하고 새콤한 맛이 좋으며 가족 모두가 즐겨 먹는 제품입니다."
5036959,곰탕,negative,36,"이 제품은 기름기와 느끼한 맛, 냉동 후 용기 부서짐 등으로 인해 불만족스러운 점이 많습니다."
5036959,곰탕,positive,62,"이 제품은 가격 대비 가성비가 좋고, 맛도 좋으며 편리합니다."
5037563,소고기 들깨 미역국,negative,12,"이 제품은 기대와 다르게 맛이 떨어집니다. 또한, 쿠폰의 유통기한이 짧고, 쿠폰을 사용할 때마다 제품의 질이 떨어집니다."
5037563,소고기 들깨 미역국,positive,84,"이 제품은 가격대비 가성비가 좋으며 맛있다는 평이 많습니다. 집에서 간편하게 끓여 먹을 수 있고, 양이 풍부하여 가족 모두에게 적합합니다."
5037566,차돌박이 된장찌개,negative,14,이 제품은 만족스럽지 않은 경험을 하신 고객님들의 리뷰가 많아요. 내용물이 부실하고 맛이 느끼하고 들큰하다는 의견이 많아요. 조미료의 맛이 강해 달콤한 맛이 부족하다는 의견이 있고 양도 적절하지 않습니다.
5037566,차돌박이 된장찌개,positive,82,"이 제품은 맛있는 국을 제공하고, 고객들이 만족스럽게 평가하고 있습니다."
5037568,진한 육개장,negative,6,"이 제품은 만족스럽지 않으며, 양도 적고 맛도 별로인 것으로 보입니다. 가격이 저렴해 보였지만 실제로는 그렇지 않았고, 다시 사는 의사는 없을 것 같다는 의견이 있습니다."
5037568,진한 육개장,positive,90,"이 제품은 맛이 진하고 건더기가 풍부한 육개장으로, 매우 만족스러운 제품입니다. 건더기가 많고 맛이 좋으며, 냉장으로 냉동 후에도 식감이 좋습니다. 또한, 간단한 조리 방법으로 편리하고 양도 충분하여 가족 모두에게 적합합니다."
5042163,바르게 만든 한우 미역국 (아이용),negative,14,"이 제품은 비싼 가격에 비해 만족스럽지 않으며, 냄새가 심하고 미역이 너무 작게 잘려 있어 거부감을 유발한다."
5042163,바르게 만든 한우 미역국 (아이용),positive,80,이 제품은 아이가 좋아하는 이유가 많습니다. 가장 큰 장점은 맛있고 간편하며 아이가 잘 먹는다는 점입니다.
5042765,차돌 된장찌개,negative,26,"이 제품은 가격이 비싼 편이고 맛도 별로며, 플라스틱 맛이 나서 가족들이 먹지 못하고 식감도 이상하고 고기는 질겨서 먹기가 힘들며 내용물도 부실합니다."
5042765,차돌 된장찌개,positive,68,"이 제품은 맛과 양이 많아 만족스럽고, 집에서 간편하게 먹을 수 있어 편리합니다."
5043112,황태곰탕,negative,18,"이 제품은 맛이 별로며, 건더기가 부족하고 국물이 묽다고 비난하는 의견이 많으며 기대와 달라 불만족스럽습니다."
5043112,황태곰탕,positive,74,이 제품은 맛있고 편리한 제품입니다. 냉동 상태로 냉동실에 넣어두면 편리하고 양도 충분히 있습니다. 신선한 재료로 만들어져 있어 매번 구매하는 제품입니다.
5044518,추어탕,negative,18,이 제품은 냄새가 강하고 맛이 씁쓸한 점에 대해 고객분들이 불만을 느끼고 있습니다. 특히 우거지나 무청의 건더기가 강한 맛을 내서 일부 고객분들이 못 먹고 있습니다.
5044518,추어탕,positive,72,이 추어탕은 맛있고 양도 적당한 편입니다. 추어 함량이 많으며 국물도 맛있어요.
5044657,온달 육개장,negative,16,이 제품은 맛이 부실하고 건더기가 적으며 후추가 너무 강하다는 불만이 많습니다.
5044657,온달 육개장,positive,78,"이 제품은 맛과 양이 적당한 편이며, 고기가 푸짐하고 맛있다는 평이 많습니다. 또한, 국물이 맑고 칼칼한 맛이 좋으며 야채를 더 추가하면 더 맛있게 먹을 수 있다는 팁이 있습니다. 할인 기간에 구매한 고객님들은 추가 구매를 하셨다는 의견이 많고, 배송도 빠르다는 평이 있습니다."
5044756,갈빗살 육개장 (2인분),negative,14,해동 후 물바다가 되서 구멍이 나고 청소가 어려운 불만이 많으며 배송 중에 구멍이 나거나 내용물이 흘러나오는 문제가 발생하여 위생상 불결한 느낌을 받았습니다.
5044756,갈빗살 육개장 (2인분),positive,86,이 제품은 가격대비 가성비가 좋고 맛있다는 평이 많아요. 집에서 간편하게 끓여 먹을 수 있어서 편리하고 양도 푸짐해서 가족 모두에게 적합해요.
5045208,우거지 감자탕,negative,30,"이 제품은 간편하지만 몇 가지 문제가 있습니다. 감자탕의 맛은 기대와 다르며, 뼈에 붙은 고기는 분리가 잘 안 되며 일부에서는 잡내를 맛볼 수 있습니다. 또한, 박스가 문제가 있어 배송 시 문제가 발생할 수 있습니다."
5045208,우거지 감자탕,positive,64,"이 제품은 가격대비 좋은 가치와 풍부한 토핑으로 인해 많은 사람들이 만족하고 있습니다. 집에서 간단하게 끓여 먹을 수 있어 편리하고, 양도 많아 가족 모두에게 적합합니다."
5047801,얼큰이 순대국,negative,16,"이 제품은 맛이 최악이고 믿을 수 없으며, 고기 질이 좋지 않고 국물은 msg가 들어있어서 좋지 않아 보인다. 또한, 돼지 털이 많은 문제로 일부 고객들은 순대만 먹고 버렸다. 제품의 품질이 떨어져서 많은 고객들이 실망했다."
5047801,얼큰이 순대국,positive,74,이 제품은 맛이 좋고 양이 푸짐하여 가족 모두에게 적합합니다. 홍 반장 얼큰 순대국은 컬리에서 구매한 식품 중에 최고입니다. 국물과 고기가 적절히 들어 있어 양이 충분한 제품입니다. 냉동실 비상식량으로 든든하게 식사할 수 있어 편리합니다. 피곤한 때도 순대국 한 그릇이 피로를 풀어주는 효과가 있습니다.
5048192,목련 어묵탕,negative,6,"어묵 제품의 질이나 맛에 대한 불만이 있으며, 아이와 함께 먹기 어려운 매운 오뎅이 포함되어 있습니다."
5048192,목련 어묵탕,positive,94,"이 제품은 다양한 종류의 어묵과 스프가 들어 있어 다양한 맛을 즐길 수 있고, 간편하게 끓일 수 있어 편리합니다."
5048735,구수한 근대된장국,negative,24,이 제품은 불만족한 경험이 많습니다. 벌레 문제와 퀄리티가 부실하고 냄새가 심한 문제가 있어요.
5048735,구수한 근대된장국,positive,74,"이 제품은 시원하고 맛있는 근대 국입니다. 컬리에서 판매하는 집 된장을 국물에 더하면 푸짐해지는 맛이 좋습니다. 또한, 양이 적지만 맛은 좋고 간이 적당하여 밥과 함께 먹기 좋으며, 조미료 냄새도 적고 후다닥 먹을 수 있습니다. 두부를 넣어도 좋은 맛이 있으며 워킹맘으로 항상 구비하는 제품입니다."
5048737,깊은맛 소고기미역국,negative,22,고기에서 냄새가 나서 별로였어요. 맛은 있는데 고기 질이 아쉽네요. 기름덩이가 많고 질겨서 씹을 수가 없어요.
5048737,깊은맛 소고기미역국,positive,76,"이 제품은 맛있고 푸짐한 양을 제공하며 다양한 맛을 가지고 간편하게 끓일 수 있습니다. 또한, 맛이 균일하고 깔끔한 국물 맛을 제공합니다."
5048745,감자탕,negative,30,이 제품은 가격이 비싼 만큼의 맛과 양을 제공하지 못하고 있습니다.
5048745,감자탕,positive,68,이 제품은 가격 대비 가성비가 좋은데 맛도 좋고 편리해요.
5048746,청국장,negative,12,이 제품은 청국장 맛이 약하다는 문제점과 불량 제품이 있다는 문제가 있습니다.
5048746,청국장,positive,84,"이 제품은 맛이 진하고 담백한 맛을 제공하는 제품입니다. 냄새가 적고, 간이 적당하며, 양이 푸짐하여 가족 모두에게 적합합니다. 제품은 냉동 상태로 배송되며, 먹기 전날 냉장고에 넣어 해동하면 조리할 수 있습니다."
5049302,나주 곰탕,negative,18,"고기는 잡내가 나고 질기며 퍽퍽한 경우가 많으며, 일부 제품은 포장지에 구멍이 있어 내용물이 노출됩니다."
5049302,나주 곰탕,positive,74,"이 제품은 가격이 저렴하고 맛있다는 평이 많으며, 집에서 간편하게 끓여 먹을 수 있어 편리한 제품입니다."
5049304,설렁탕,negative,6,"이 제품은 맛이 별로했고, 냄새가 나서 불만족스러운 경험이 있다고 하네요."
5049304,설렁탕,positive,92,"이 제품은 고객들의 평이 매우 좋습니다. 아이들이 먹기 좋고 싱거운 맛, 건강한 맛을 좋아하시는 분들에게 추천드릴만한 제품입니다. 고객님들은 밥을 말아 먹었을 때도 맛있다고 하며, 한 끼 식사로 딱이어서 좋다고 하십니다. 또한, 곰탕보다는 더 맛있다고 하며, 배송이 빨라서 좋다고 하십니다. 고기는 많고 얇지 않고 국물도 좋다는 의견이 많습니다. 고객님들은 이 제품을 자주 구매하시는 분들이 많습니다."
5049679,김치 우리콩 비지찌개,negative,48,이 제품은 비지찌개와 이름이 비슷하지만 비지가 적게 들어가고 국물이 많아 맛이 떨어지는 문제가 있습니다.
5049679,김치 우리콩 비지찌개,positive,46,"이 제품은 맛있고 편리한 비지찌개로, 냉동으로 오래 보관할 수 있어 좋고, 부족하지 않게 김치와 고기가 씹히고 맛있어요. 비지향이 강한 분은 좋아할 것 같고, 김치가 많고 비지가 고와서 김치찌개 느낌이 나요."
5049680,하얀 우리콩 비지찌개,negative,18,"이 제품은 맛이 불만족스럽고, 비지찌개와 비슷한 맛이 나지만 실제 콩 국 맛이 나오지 않는다는 의견이 많습니다."
5049680,하얀 우리콩 비지찌개,positive,76,"이 제품은 맛이 좋고, 간이 적당하여 편리하고 건강에 좋은 맛입니다."
5049682,순살 꼬막 우렁된장찌개,negative,28,"이 제품은 비린내가 심하고 맛이 별로며, 두부가 으스러져 식감이 이상합니다. 또한, 신선하지 않은 맛을 느낄 수 있습니다."
5049682,순살 꼬막 우렁된장찌개,positive,68,"이 제품은 맛이 좋고, 두부, 버섯 등 추가로 넣을 수 있어 만족합니다. 우렁 된장찌개는 특히 좋으며, 꼬막이 레토르트라서 특유의 맛이 없지만, 그게 먹고 시프면 직접 먹는 게 맞다고 생각합니다. 꼬막이 아낌없이 들어가고, 맛이 호불호가 갈릴 수 있지만 재구매합니다. 입맛 없을 때 먹기 좋은 된장찌개이며, 청양고추를 넣으면 맛있답니다. 부재료를 더 넣으면 더 좋을 것 같아요."
5049685,얼큰 순대국,negative,18,"이 제품은 만족스럽지 못한 고객들의 의견이 많습니다. 맛과 양이 떨어져 실망스럽다는 의견이 많고, 맛이 연해지고 칼로 자른 흔적이 보이는 등 문제점이 있습니다. 또한 양이 줄어들어 재주문 의사가 없다는 의견이 많습니다."
5049685,얼큰 순대국,positive,78,"이 제품은 가격대에 비해 가성비가 좋은데 맛도 좋고, 집에서 간편하게 끓여 먹을 수 있어서 좋아요. 다만, 유통기한이 짧아서 버리는 경우가 있다는 점에 주의가 필요해요."
5049686,백암 순대국,negative,14,"이 제품은 맛이 좋지만 가격이 비싸다는 의견이 많습니다. 세일 때 구매하는 것이 좋고, 화학적 조미료가 포함되어 있어 일부 고객이 다시 구매하고 싶지 않다고 말합니다."
5049686,백암 순대국,positive,86,이 제품은 가격에 비해 가성비가 좋고 맛이 풍부하다는 평이 많습니다. 집에서 간편하게 끓여 먹을 수 있어 편리하고 가족 모두에게 적합합니다.
5049761,알탕,negative,12,"이 제품은 냄새가 좋지 않아 버렸다는 의견과 양이 적다는 불만, 알이 싱싱하지 않아 먹을 수 없다는 문제점, 여름에 배송 시키는 경우가 불편하다는 의견이 있습니다."
5049761,알탕,positive,82,"이 제품은 맛이 좋고, 알이 많고 국물이 진한 제품입니다. 많은 사람들이 만족합니다. 재료를 추가하면 더 맛있게 먹을 수 있고, 집에서 간편하게 끓여 먹을 수 있어 편리합니다."
5049762,꽃게 해물탕,negative,24,해물이 비싼 데다 상태가 좋지 않아 많은 사람들이 불편해합니다.
5049762,꽃게 해물탕,positive,74,"이 제품은 가격 대비 만족스럽고, 편리하고 푸짐하여 가족 모두에게 적합합니다. 냉동 꽃게의 신선도는 좋고, 야채를 넣으면 국물이 시원하고 맛납니다."
5050925,한우 사골육수,negative,4,"이 제품은 배송과 포장에 문제가 있고, 품질도 좋지 않습니다."
5050925,한우 사골육수,positive,92,"이 제품은 가격이 저렴하고 맛이 좋으며, 집에서 쉽게 끓일 수 있어 편리하지만 유통기한이 짧다는 단점이 있습니다."
5051186,갈비탕,negative,52,"이 제품은 저렴하지만, 일부 고객들은 고기가 부족하다는 불만을 제기했습니다."
5051186,갈비탕,positive,40,"이 제품은 가격대에 비해 좋고 맛있다는 평이 많으며, 가족 모두에게 적합한 편리한 제품입니다."
5052664,소내장탕,negative,12,"이 제품은 맛이 좋지만 무가 많이 들어가고 시래기가 있고 양이 적다는 문제가 있고, 컬리에서 구매한 후 제품의 품질이 떨어집니다. 배송 시 택배 기사와 제품 문제도 발생했습니다."
5052664,소내장탕,positive,84,"이 제품은 가격대에 비해 맛과 양이 풍부하며, 냉동으로 간편하게 끓여 먹을 수 있어 편리하고 가족 모두에게 적합하지만 유통기한이 짧다는 단점이 있습니다."
5052864,차돌 청국장,positive,92,이 제품은 맛과 양이 모두 만족스럽고 가족 모두에게 적합한 제품입니다.
5052865,사골 황태국,negative,18,"포장지의 문제점으로는 종이 패키지의 국물이 새는 문제, 비닐 봉투의 녹은 사골이 흘러내리는 문제, 포장지의 위생 상태가 찜찜하다는 문제가 있습니다."
5052865,사골 황태국,positive,74,"이 제품은 해장과 든든한 한 끼로도 적합한 제품입니다. 아기 먹이기에 적합하여 구매하는 고객이 많으며, 달걀만 풀어 첨가하면 맛있게 먹을 수 있습니다."
5053979,사골 도가니탕,negative,60,"이 제품은 여러 가지 문제점을 가지고 있습니다. 우유와 비슷한 색상의 국물, 인위적인 고소한 맛, 기름이 많고 국물이 변한 것처럼 보이는 등 여러 가지 문제가 있습니다. 또한, 위생 상태가 좋지 않아 머리카락이 도가니에 박혀 있는 경우가 있습니다."
5053979,사골 도가니탕,positive,38,"이 제품은 가격이 저렴하고 맛이 좋으며, 토핑이 풍부하여 많은 사람들이 만족스럽게 평가합니다. 또한 집에서 간단하게 끓일 수 있어 편리하고, 양도 충분하여 가족 모두에게 적합합니다."
5053980,한우 사골 곰탕,negative,30,"이 리뷰는 컬리에서 구입한 사골 곰탕에 대한 고객의 불만을 담고 있습니다. 주요 문제점으로는 냄새가 나고 터진 제품, 맛과 국물의 문제, 가격 대비 품질이 좋지 않음, 검수 과정의 의심, 취소 후 마음이 불편한 점이 있습니다."
5053980,한우 사골 곰탕,positive,68,"이 제품은 가격대에 비해 맛과 양이 만족스럽습니다. 국물이 진하고 고소하여 떡국 끓여 먹기 좋으며, 양도 충분합니다."
